size_bytes,access_type,run,latency_ns
1048576,post_migration,16,8698100
1048576,cpu_baseline,17,619600
1048576,post_migration,17,9571200
1048576,cpu_baseline,18,500900
1048576,post_migration,18,9830100
1048576,cpu_baseline,19,516900
1048576,post_migration,19,8190600
1048576,cpu_baseline,20,852800
1048576,post_migration,20,10015000
1048576,cpu_baseline,21,657400
1048576,post_migration,21,8943600
1048576,cpu_baseline,22,623100
1048576,post_migration,22,10260200
1048576,cpu_baseline,23,604700
1048576,post_migration,23,8885600
1048576,cpu_baseline,24,697600
1048576,post_migration,24,10464900
1048576,cpu_baseline,25,608100
1048576,post_migration,25,9442600
1048576,cpu_baseline,26,611100
1048576,post_migration,26,10135800
1048576,cpu_baseline,27,588200
1048576,post_migration,27,10831300
1048576,cpu_baseline,28,575400
1048576,post_migration,28,8063900
1048576,cpu_baseline,29,517000
1048576,post_migration,29,9920200
2097152,cpu_baseline,0,19589400
2097152,post_migration,0,19824700
2097152,cpu_baseline,1,1118800
2097152,post_migration,1,18501100
2097152,cpu_baseline,2,1008700
2097152,post_migration,2,20432800
2097152,cpu_baseline,3,1511800
2097152,post_migration,3,19256200
2097152,cpu_baseline,4,1404000
2097152,post_migration,4,19397300
2097152,cpu_baseline,5,1076800
2097152,post_migration,5,20123600
2097152,cpu_baseline,6,1058700
2097152,post_migration,6,18991500
2097152,cpu_baseline,7,1031900
2097152,post_migration,7,19171600
2097152,cpu_baseline,8,1006600
2097152,post_migration,8,19289700
2097152,cpu_baseline,9,4160200
2097152,post_migration,9,19384300
2097152,cpu_baseline,10,1106000
2097152,post_migration,10,19151700
2097152,cpu_baseline,11,1122900
2097152,post_migration,11,17997200
2097152,cpu_baseline,12,1596400
2097152,post_migration,12,20391100
2097152,cpu_baseline,13,1029600
2097152,post_migration,13,19743600
2097152,cpu_baseline,14,1383500
2097152,post_migration,14,19920500
2097152,cpu_baseline,15,1006600
2097152,post_migration,15,18069600
2097152,cpu_baseline,16,1062700
2097152,post_migration,16,19043500
2097152,cpu_baseline,17,1044100
2097152,post_migration,17,18558700
2097152,cpu_baseline,18,1048300
2097152,post_migration,18,21211100
2097152,cpu_baseline,19,1832200
2097152,post_migration,19,17756800
2097152,cpu_baseline,20,1002900
2097152,post_migration,20,18710000
2097152,cpu_baseline,21,1556900
2097152,post_migration,21,18535200
2097152,cpu_baseline,22,1076500
2097152,post_migration,22,17789300
2097152,cpu_baseline,23,1099200
2097152,post_migration,23,19266900
2097152,cpu_baseline,24,1012100
2097152,post_migration,24,18716600
2097152,cpu_baseline,25,1282600
2097152,post_migration,25,18667300
2097152,cpu_baseline,26,1004300
2097152,post_migration,26,18712700
2097152,cpu_baseline,27,1127400
2097152,post_migration,27,19154200
2097152,cpu_baseline,28,1119500
2097152,post_migration,28,22254200
2097152,cpu_baseline,29,1052200
2097152,post_migration,29,18888900
4194304,cpu_baseline,0,39375900
4194304,post_migration,0,42673000
4194304,cpu_baseline,1,2061100
4194304,post_migration,1,40632900
4194304,cpu_baseline,2,2037900
4194304,post_migration,2,40121600
4194304,cpu_baseline,3,3533700
4194304,post_migration,3,42858300
4194304,cpu_baseline,4,2956400
4194304,post_migration,4,41577800
4194304,cpu_baseline,5,2195400
4194304,post_migration,5,38390300
4194304,cpu_baseline,6,2070500
4194304,post_migration,6,39317100
4194304,cpu_baseline,7,2037900
4194304,post_migration,7,45639400
4194304,cpu_baseline,8,2089100
4194304,post_migration,8,40357100
4194304,cpu_baseline,9,2033500
4194304,post_migration,9,41273400
4194304,cpu_baseline,10,2469000
4194304,post_migration,10,37704800
4194304,cpu_baseline,11,2338600
4194304,post_migration,11,40927700
4194304,cpu_baseline,12,2572200
4194304,post_migration,12,39673400
4194304,cpu_baseline,13,2215100
4194304,post_migration,13,40869400
4194304,cpu_baseline,14,2249200
4194304,post_migration,14,37629900
4194304,cpu_baseline,15,2078900
4194304,post_migration,15,39835300
4194304,cpu_baseline,16,2178700
